id,english,polish,level,track,topic_category,material_type,specialism,difficulty_1_5,word_count_en,examples_count,accepted_answers_count,collocations_count,typical_prepositions,translation_check,flags,recommendation
ogólny_a1_0026_phone,phone,telefon,A1,Ogólny,Podstawy,rzeczownik,ogólne,1,1,1,0,3,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0027_car,car,samochód,A1,Ogólny,Podstawy,rzeczownik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0028_door,door,drzwi,A1,Ogólny,Podstawy,rzeczownik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0029_window,window,okno,A1,Ogólny,Podstawy,rzeczownik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0030_key,key,klucz,A1,Ogólny,Podstawy,rzeczownik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0031_money,money,pieniądze,A1,Ogólny,Podstawy,rzeczownik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0032_time,time,czas,A1,Ogólny,Podstawy,rzeczownik,ogólne,1,1,1,0,3,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0033_problem,problem,problem,A1,Ogólny,Podstawy,rzeczownik,ogólne,1,1,1,0,3,w; i; t; h,do ręcznej kontroli (identyczny zapis),identyczny zapis EN/PL – sprawdzić zapożyczenie | brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0034_question,question,pytanie,A1,Ogólny,Podstawy,rzeczownik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0035_answer,answer,odpowiedź,A1,Ogólny,Podstawy,rzeczownik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0036_today,today,dzisiaj,A1,Ogólny,Podstawy,przysłówek,ogólne,1,1,1,0,0,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0037_tomorrow,tomorrow,jutro,A1,Ogólny,Podstawy,przysłówek,ogólne,1,1,1,0,0,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0038_yesterday,yesterday,wczoraj,A1,Ogólny,Podstawy,przysłówek,ogólne,1,1,1,0,0,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0039_now,now,teraz,A1,Ogólny,Podstawy,przysłówek,ogólne,1,1,1,0,0,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0040_later,later,później,A1,Ogólny,Podstawy,przysłówek,ogólne,1,1,1,0,0,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0041_small,small,mały,A1,Ogólny,Podstawy,przymiotnik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0042_big,big,duży,A1,Ogólny,Podstawy,przymiotnik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0043_new,new,nowy,A1,Ogólny,Podstawy,przymiotnik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0044_old,old,stary,A1,Ogólny,Podstawy,przymiotnik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0045_fast,fast,szybki,A1,Ogólny,Podstawy,przymiotnik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0046_slow,slow,wolny,A1,Ogólny,Podstawy,przymiotnik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0047_good,good,dobry,A1,Ogólny,Podstawy,przymiotnik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0048_bad,bad,zły,A1,Ogólny,Podstawy,przymiotnik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0049_easy,easy,łatwy,A1,Ogólny,Podstawy,przymiotnik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0050_hard,hard,trudny,A1,Ogólny,Podstawy,przymiotnik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0051_open,open,otwierać,A1,Ogólny,Podstawy,czasownik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0052_close,close,zamykać,A1,Ogólny,Podstawy,czasownik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0053_start,start,startować,A1,Ogólny,Podstawy,czasownik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0054_stop,stop,zatrzymać,A1,Ogólny,Podstawy,czasownik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0055_learn,learn,uczyć się,A1,Ogólny,Podstawy,czasownik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0056_read,read,czytać,A1,Ogólny,Podstawy,czasownik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0057_write,write,pisać,A1,Ogólny,Podstawy,czasownik,ogólne,1,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0058_speak,speak,mówić,A1,Ogólny,Podstawy,czasownik,ogólne,1,1,1,0,2,t; o;  ; /;  ; w; i; t; h;  ; /;  ; a; b; o; u; t,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a1_0059_listen,listen,słuchać,A1,Ogólny,Podstawy,czasownik,ogólne,1,1,1,0,2,t; o,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0060_appointment,appointment,spotkanie,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,3,f; o; r;  ; /;  ; w; i; t; h,wstępnie kompletne; wymaga końcowej kontroli językowej,powtórzony angielski zapis – sprawdzić znaczenia | brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0061_address,address,adres,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,3,a; t,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0062_invoice,invoice,faktura,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,2,f; o; r;  ; /;  ; f; r; o; m,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0063_receipt,receipt,paragon,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,2,f; o; r,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0064_price,price,cena,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,3,o; f;  ; /;  ; f; o; r,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0065_discount,discount,rabat,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,2,o; n,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0066_delivery,delivery,dostawa,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,3,o; f;  ; /;  ; t; o,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0067_message,message,wiadomość,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,2,f; r; o; m;  ; /;  ; t; o,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0068_call,call,rozmowa telefoniczna,A2,Ogólny,Codzienne,czasownik,ogólne,2,1,1,0,2,f; r; o; m;  ; /;  ; t; o;  ; /;  ; a; b; o; u; t,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0069_meeting,meeting,zebranie,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,2,w; i; t; h;  ; /;  ; a; b; o; u; t,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0070_customer,customer,klient,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,3,f; o; r,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0071_service,service,usługa,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,3,f; o; r;  ; /;  ; t; o,wstępnie kompletne; wymaga końcowej kontroli językowej,powtórzony angielski zapis – sprawdzić znaczenia | brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0072_repair,repair,naprawa,A2,Ogólny,Codzienne,czasownik,ogólne,2,1,1,0,2,t; o,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0073_installation,installation,instalacja,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,3,o; f;  ; /;  ; a; t,wstępnie kompletne; wymaga końcowej kontroli językowej,powtórzony angielski zapis – sprawdzić znaczenia | brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0074_manual,manual,instrukcja,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,2,f; o; r,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0075_settings,settings,ustawienia,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,3,f; o; r,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0076_password,password,hasło,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,3,f; o; r,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0077_account,account,konto,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,2,w; i; t; h,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0078_document,document,dokument,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,2,f; o; r;  ; /;  ; a; b; o; u; t,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0079_folder,folder,folder,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,2,f; o; r,do ręcznej kontroli (identyczny zapis),identyczny zapis EN/PL – sprawdzić zapożyczenie | brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0080_file,file,plik,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,3,i; n;  ; /;  ; f; r; o; m,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0081_backup,backup,kopia zapasowa,B1,Ogólny,Codzienne,rzeczownik,ogólne,3,1,1,0,3,o; f,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0082_update,update,aktualizacja,A2,Ogólny,Codzienne,czasownik,ogólne,2,1,1,0,2,t; o;  ; /;  ; f; o; r,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0083_permission,permission,uprawnienie,B1,Ogólny,Codzienne,rzeczownik,ogólne,3,1,1,0,2,t; o;  ; /;  ; f; o; r,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0084_location,location,lokalizacja,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,2,o; f;  ; /;  ; a; t,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0085_distance,distance,odległość,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,2,f; r; o; m;  ; /;  ; t; o,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0086_traffic,traffic,ruch drogowy,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0087_weather,weather,pogoda,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0088_delay,delay,opóźnienie,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,2,i; n;  ; /;  ; o; f,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_a2_0089_schedule,schedule,harmonogram,A2,Ogólny,Codzienne,rzeczownik,ogólne,2,1,1,0,2,f; o; r,wstępnie kompletne; wymaga końcowej kontroli językowej,powtórzony angielski zapis – sprawdzić znaczenia | brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_b1_0090_available,available,dostępny,B1,Ogólny,Rozmowy,przymiotnik,ogólne,3,1,1,0,2,f; o; r;  ; /;  ; t; o,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_b1_0091_reliable,reliable,niezawodny,B1,Ogólny,Rozmowy,przymiotnik,ogólne,3,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_b1_0092_temporary,temporary,tymczasowy,B1,Ogólny,Rozmowy,przymiotnik,ogólne,3,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_b1_0093_permanent,permanent,stały,B1,Ogólny,Rozmowy,przymiotnik,ogólne,3,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_b1_0094_necessary,necessary,konieczny,B1,Ogólny,Rozmowy,przymiotnik,ogólne,3,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_b1_0095_possible,possible,możliwy,B1,Ogólny,Rozmowy,przymiotnik,ogólne,3,1,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_b1_0096_probably,probably,prawdopodobnie,B1,Ogólny,Rozmowy,przysłówek,ogólne,3,1,1,0,0,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_b1_0097_actually,actually,właściwie,B1,Ogólny,Rozmowy,przysłówek,ogólne,3,1,1,0,0,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_b1_0098_instead,instead,zamiast,B1,Ogólny,Rozmowy,przysłówek,ogólne,3,1,1,0,0,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_b1_0099_because_of,because of,z powodu,A2,Ogólny,Rozmowy,zwrot,ogólne,2,2,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_b1_0100_as_soon_as_possible,as soon as possible,tak szybko jak to możliwe,A2,Ogólny,Rozmowy,zdanie,ogólne,2,4,1,0,0,,wstępnie kompletne; wymaga końcowej kontroli językowej,zdanie bez wariantów odpowiedzi,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_b1_0101_according_to,according to,zgodnie z,B1,Ogólny,Rozmowy,zwrot,ogólne,3,2,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_b1_0102_in_case_of,in case of,w przypadku,B1,Ogólny,Rozmowy,zdanie,ogólne,3,3,1,0,2,,wstępnie kompletne; wymaga końcowej kontroli językowej,zdanie bez wariantów odpowiedzi,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_b1_0103_before_we_start,before we start,zanim zaczniemy,A2,Ogólny,Rozmowy,zdanie,ogólne,2,3,1,0,0,,wstępnie kompletne; wymaga końcowej kontroli językowej,zdanie bez wariantów odpowiedzi,przypisać do lekcji | poprawić lub ręcznie zweryfikować
ogólny_b1_0104_after_checking,after checking,po sprawdzeniu,A2,Ogólny,Rozmowy,zwrot,ogólne,2,2,1,0,0,,wstępnie kompletne; wymaga końcowej kontroli językowej,brak rejestru językowego,przypisać do lekcji | poprawić lub ręcznie zweryfikować
